gene	norm_1	norm_2	norm_3
CDR20291_0182	1523	1605	1561
CDR20291_0183	0	0	0
CDR20291_0184	17627	18321	12753
CDR20291_0185	3196	3349	2639
CDR20291_0186	2134	2149	1772
CDR20291_0187	2928	3108	2628
CDR20291_0188	4276	4249	3886
CDR20291_0189	1899	2005	2178
CDR20291_0190	1399	1509	1331
CDR20291_0191	2274	2306	2073
CDR20291_0192	2072	2047	2250
CDR20291_0193	3928	3783	3958
CDR20291_0194	1873	1937	1944
CDR20291_0195	34752	35626	34533
CDR20291_0196	1404	1401	1394
CDR20291_0197	0	0	0
CDR20291_0198	35458	36402	32085
CDR20291_0199	9817	9524	9312
CDR20291_0200	1048	1117	1041
CDR20291_0201	432	446	428
CDR20291_0202	310	237	251
CDR20291_0203	71	83	63
CDR20291_0204	1207	1100	1225
CDR20291_0205	7254	7092	6141
CDR20291_0206	123	110	104
CDR20291_0207	15	19	13
CDR20291_0208	89	116	89
CDR20291_0209	18	24	19
CDR20291_0210	89	92	108
CDR20291_0211	1003	950	1017
CDR20291_0212	63	84	66
CDR20291_0213	12	15	25
CDR20291_0214	239	302	334
CDR20291_0215	688	686	749
CDR20291_0216	1116	1120	1122
CDR20291_0217	3679	3739	3541
CDR20291_0218	2886	2809	2886
CDR20291_0219	899	955	1046
CDR20291_0220	2614	2526	2585
CDR20291_0221	2629	2507	2605
CDR20291_0222	15836	16077	16202
CDR20291_0223	663	806	750
CDR20291_0224	2245	2404	2353
CDR20291_0225	1042	987	1054
CDR20291_0226	2220	2369	2504
CDR20291_0227	1697	1686	1926
CDR20291_0228	1046	1141	1121
CDR20291_0229	495	532	529
CDR20291_0230	470	463	563
CDR20291_0231	545	547	531
CDR20291_0232	3635	3895	4300
CDR20291_0233	2739	2877	3139
CDR20291_0234	637	627	640
CDR20291_0235	258	248	270
CDR20291_0236	872	905	984
CDR20291_0237	564	556	561
CDR20291_0238	7401	7372	7636
CDR20291_0239	724	745	747
CDR20291_0240	37502	38109	38226
CDR20291_0241	3599	3552	3223
CDR20291_0242	4868	4682	4841
CDR20291_0243	6371	5975	5927
CDR20291_0244	1971	1881	1795
CDR20291_0245	3672	3446	3392
CDR20291_0246	5367	5325	5129
CDR20291_0247	4933	4889	4905
CDR20291_0248	540	499	517
CDR20291_0249	841	849	871
CDR20291_0250	488	497	483
CDR20291_0251	4147	4004	4734
CDR20291_0252	2408	2328	2566
CDR20291_0253	1577	1589	1767
CDR20291_0254	3773	3775	4320
CDR20291_0255	531	430	473
CDR20291_0256	2013	1978	2310
CDR20291_0257	1226	1228	1565
CDR20291_0258	3564	3781	4081
CDR20291_0259	234	199	233
CDR20291_0260	3007	2895	3204
CDR20291_0261	2486	2609	2612
CDR20291_0262	1041	996	930
CDR20291_0263	534	427	442
CDR20291_0264	2069	2058	2009
CDR20291_0265	393	377	475
CDR20291_0266	5491	5551	5561
CDR20291_0267	6719	6746	6975
CDR20291_0268	1986	1825	1962
CDR20291_0269	2178	2157	2224
CDR20291_0270	1216	1088	1257
CDR20291_0271	600	474	564
CDR20291_0272	1817	1677	2010
CDR20291_0273	1999	1805	2043
CDR20291_0274	2156	1986	2136
CDR20291_0275	901	812	891
CDR20291_0276	3286	2772	3096
CDR20291_0277	27468	27041	25750
CDR20291_0278	4925	5049	5285
CDR20291_0279	3974	3891	4166
CDR20291_0280	885	893	918
CDR20291_0281	351	326	369
CDR20291_0282	292	278	232
CDR20291_0283	324	306	426
CDR20291_0284	352	346	404
CDR20291_0285	3449	3495	3666
CDR20291_0286	3533	3320	3935
CDR20291_0287	50	39	54
CDR20291_0288	8	18	32
CDR20291_0289	15	8	37
CDR20291_0290	30	19	70
CDR20291_0291	62	47	76
CDR20291_0292	46	45	89
CDR20291_0293	57	61	84
CDR20291_0294	46	49	68
CDR20291_0295	196	196	217
CDR20291_0296	167	148	179
CDR20291_0297	153	129	170
CDR20291_0298	8615	9045	10013
CDR20291_0299	794	842	906
CDR20291_0300	424	420	400
CDR20291_0301	2822	2437	7524
CDR20291_0302	1766	1598	5374
CDR20291_0303	1495	1430	4945
CDR20291_0304	1192	1080	4182
CDR20291_0305	473	445	1641
CDR20291_0306	354	362	1254
CDR20291_0307	301	381	695
CDR20291_0308	161	157	286
CDR20291_0309	253	268	242
CDR20291_0310	240	232	242
CDR20291_0311	3698	3643	3364
CDR20291_0312	3792	3739	3877
CDR20291_0313	2773	2768	2612
CDR20291_0314	2836	2895	2747
CDR20291_0315	2036	2096	1863
CDR20291_0316	192	206	206
CDR20291_0317	1307	1451	1329
CDR20291_0318	22111	23308	21719
CDR20291_0319	189	246	188
CDR20291_0320	12	11	14
CDR20291_0321	2151	2253	1958
CDR20291_0322	1785	1731	1518
CDR20291_0323	2795	2889	2429
CDR20291_0324	1739	1764	1455
CDR20291_0325	1349	1401	1151
CDR20291_0326	203	179	150
CDR20291_0327	2294	2343	2488
CDR20291_0328	3811	3706	4015
CDR20291_0329	47356	46933	50144
CDR20291_0330	13191	12615	13589
CDR20291_0331	25716	25275	23764
CDR20291_0332	43778	42916	43549
CDR20291_0333	18646	18814	18383
CDR20291_0334	12230	12057	12758
CDR20291_0335	7410	7247	7461
CDR20291_0336	7492	7975	8099
CDR20291_0337	221	264	244
CDR20291_0338	38871	39096	37693
CDR20291_0339	354	400	416
CDR20291_0340	142	135	126
CDR20291_0341	426	381	320
CDR20291_0342	786	778	797
CDR20291_0343	795	774	747
CDR20291_0344	873	887	770
CDR20291_0345	17631	17781	16826
CDR20291_0346	686	819	733
CDR20291_0347	317	288	321
CDR20291_0348	872	942	695
CDR20291_0349	1797	1721	1461
CDR20291_0350	9098	8868	7599
CDR20291_0351	1302	1332	1398
CDR20291_0352	2122	2099	1953
CDR20291_0353	4621	4352	4228
CDR20291_0354	4252	4394	4267
CDR20291_0355	3353	3514	3379
CDR20291_0356	1444	1425	1220
