gene	norm_1	norm_2	norm_3
OG1RF_10404	4800	4777	4416
OG1RF_10407	467	464	420
OG1RF_11155	7492	7427	7157
OG1RF_11437	828	825	735
OG1RF_12225	11391	11510	10365
OG1RF_10513	3422	3370	3819
OG1RF_10784	39541	38989	38865
OG1RF_12531	3178	3656	3502
OG1RF_12037	10330	10325	10173
OG1RF_11191	11647	11460	11866
OG1RF_12042	2866	2967	2875
OG1RF_11666	77687	76238	77137
OG1RF_11665	54360	52254	53267
OG1RF_10043	5139	5054	4866
OG1RF_10044	22822	21791	21774
OG1RF_10045	4467	4496	4472
OG1RF_11854	3666	4019	3940
OG1RF_10956	21226	21283	21833
OG1RF_11275	13094	12661	12398
OG1RF_10911	8581	8660	8806
OG1RF_12446	19983	19996	20518
OG1RF_10349	4830	4874	4670
OG1RF_10317	206	208	234
OG1RF_10574	50625	49812	50145
OG1RF_12336	8432	8173	8006
OG1RF_12388	8157	8344	8252
OG1RF_10133	20680	20160	19721
OG1RF_10122	9807	8925	8366
OG1RF_10134	17955	17454	17422
OG1RF_11137	1069	1180	1047
OG1RF_11843	5797	5624	5806
OG1RF_11148	5262	5485	5282
OG1RF_10558	3758	3642	3743
OG1RF_12117	3741	3828	3736
OG1RF_10859	1733	1780	1749
OG1RF_10735	34304	34696	33568
OG1RF_10928	11709	11571	11421
OG1RF_10915	10697	10989	10886
OG1RF_12112	17660	19517	18813
OG1RF_12110	2191	2418	2310
OG1RF_12109	21277	23372	23555
OG1RF_10001	38795	39979	39989
OG1RF_10012	20336	20578	20690
OG1RF_10610	39246	40741	41150
OG1RF_10931	12033	11893	11838
OG1RF_10777	34198	33088	33142
OG1RF_11241	56402	52471	54129
OG1RF_10611	29022	29941	29379
OG1RF_11080	53216	50172	49774
OG1RF_11078	133623	126088	123308
OG1RF_10002	32979	33961	34194
OG1RF_10940	9899	9656	10128
OG1RF_11808	40273	40136	41003
OG1RF_12140	47534	47598	48122
OG1RF_11959	169	172	134
OG1RF_11364	150	156	150
OG1RF_12488	15775	15792	14691
OG1RF_10765	5034	5146	4987
OG1RF_11635	10059	9934	9376
OG1RF_12111	14946	16465	16395
OG1RF_10326	34672	36015	37364
OG1RF_10211	21279	22607	22067
OG1RF_10038	5383	5608	5596
OG1RF_12076	2146	2424	2152
OG1RF_11438	2286	2454	2428
OG1RF_12397	192	239	174
OG1RF_10310	167	170	149
OG1RF_10230	30742	28824	28518
OG1RF_12167	706	811	643
OG1RF_11268	38591	38285	38393
OG1RF_11623	229744	213023	214457
OG1RF_12358	387	472	427
OG1RF_12459	5871	6191	5919
OG1RF_11842	22254	21786	21937
OG1RF_11995	5400	5374	5484
OG1RF_11100	1797	1649	1670
OG1RF_11345	384	267	200
OG1RF_11344	468	405	375
OG1RF_11343	319	288	207
OG1RF_11334	409	425	352
OG1RF_11342	270	194	154
OG1RF_11335	59	64	41
OG1RF_11351	382	337	324
OG1RF_11333	148	104	96
OG1RF_10684	864	897	811
OG1RF_10257	80694	79333	80572
OG1RF_12185	60700	68827	71356
OG1RF_10226	104651	113907	115188
OG1RF_12183	97571	109074	113245
OG1RF_10068	4624	4687	4777
OG1RF_11485	5659	5657	5600
OG1RF_12184	54546	62618	63716
OG1RF_12188	81754	89382	95362
OG1RF_10225	57515	63712	67204
OG1RF_12186	59896	66766	70987
OG1RF_10227	34411	36881	37581
OG1RF_12181	25314	28634	30242
OG1RF_10945	196905	187348	189237
OG1RF_11220	3096	2522	2452
OG1RF_11178	1799	1650	1810
OG1RF_12290	295	315	273
OG1RF_10359	1471	1217	1309
OG1RF_10360	17246	14821	15674
OG1RF_11262	913	933	905
OG1RF_11411	21895	21107	21616
OG1RF_11436	15629	15393	15054
OG1RF_10139	5741	6005	6185
OG1RF_12030	25983	25665	25061
