CDR20291_3551	1198
CDR20291_3552	3757
CDR20291_0001	2351
CDR20291_0002	3455
CDR20291_0003	21225
CDR20291_0004	6068
CDR20291_0005	14307
CDR20291_0006	4183
CDR20291_0007	11360
CDR20291_0008	6009
CDR20291_0009	598
CDR20291_0010	41999
CDR20291_0011	2946
CDR20291_0012	1898
CDR20291_0013	2583
CDR20291_0014	7284
CDR20291_0015	28130
CDR20291_0016	10177
CDR20291_0017	6374
CDR20291_0018	16034
CDR20291_0019	12129
CDR20291_0020	531
CDR20291_0021	37
CDR20291_0022	66
CDR20291_0023	277
CDR20291_0024	414
CDR20291_0025	454
CDR20291_0026	669
CDR20291_0027	668
CDR20291_0028	1378
CDR20291_0029	198
CDR20291_0030	15
CDR20291_0031	13
CDR20291_0032	82
CDR20291_0033	3
CDR20291_0034	18
CDR20291_0035	1009
CDR20291_0036	1533
CDR20291_0037	1102
CDR20291_0038	31326
CDR20291_0039	43194
CDR20291_0040	21451
CDR20291_0041	18739
CDR20291_0042	4616
CDR20291_0043	7009
CDR20291_0044	3234
CDR20291_0045	12281
CDR20291_0046	7322
CDR20291_0047	1243
CDR20291_0048	6656
CDR20291_0049	4074
CDR20291_0050	6062
CDR20291_0051	96655
CDR20291_0052	1016
CDR20291_0053	3922
CDR20291_0054	21651
CDR20291_0055	17414
CDR20291_0056	40040
CDR20291_0057	28496
CDR20291_0058	21730
CDR20291_0059	3003
CDR20291_0060	113739
CDR20291_0061	132699
CDR20291_0062	21454
CDR20291_0063	31976
CDR20291_0064	195120
CDR20291_0065	27404
CDR20291_0066	10404
CDR20291_0067	38029
CDR20291_0068	33979
CDR20291_0069	8874
CDR20291_0070	50642
CDR20291_0071	8879
CDR20291_0072	10534
CDR20291_0073	42495
CDR20291_0074	15577
CDR20291_0075	4950
CDR20291_0076	7088
CDR20291_0077	12294
CDR20291_0078	10062
CDR20291_0079	21725
CDR20291_0080	2662
CDR20291_0081	13708
CDR20291_0082	24568
CDR20291_0083	14812
CDR20291_0084	27096
CDR20291_0085	5084
CDR20291_0086	23209
CDR20291_0087	67323
CDR20291_0088	37131
CDR20291_0089	40046
CDR20291_0090	4680
