gene	norm_1	norm_2	norm_3
CDR20291_0132	2236	1949	2144
CDR20291_0133	4875	4583	4697
CDR20291_0134	176	182	154
CDR20291_0135	279	276	297
CDR20291_0136	1723	2099	2034
CDR20291_0137	656	673	697
CDR20291_0138	2225	2506	2406
CDR20291_0139	708	674	533
CDR20291_0140	642	694	496
CDR20291_0141	27006	27190	27704
CDR20291_0144	13634	14206	11739
CDR20291_0145	10611	11372	10490
CDR20291_0146	10264	10728	10527
CDR20291_0147	1115	1355	1222
CDR20291_0148	2294	2620	2353
CDR20291_0149	4315	4551	4327
CDR20291_0155	9881	9121	10149
CDR20291_0156	2474	2095	2589
CDR20291_0157	3285	3188	3277
CDR20291_0158	409	357	423
CDR20291_0159	683	768	590
CDR20291_0160	755	764	598
CDR20291_0161	733	773	778
CDR20291_0162	89	70	84
CDR20291_0163	609	673	642
CDR20291_0164	148	135	157
CDR20291_0165	1138	1090	1092
CDR20291_0166	1008	1046	1070
CDR20291_0167	3145	2851	2697
CDR20291_0168	1292	1372	1348
CDR20291_0169	12022	11799	11565
CDR20291_0170	15935	15724	14977
CDR20291_0171	36601	35789	37418
CDR20291_0172	1891	1685	1814
CDR20291_0174	3766	3468	3497
CDR20291_0175	16638	20567	17010
CDR20291_0176	1572	2100	1743
CDR20291_0177	6922	8597	7889
CDR20291_0178	27470	27752	28890
CDR20291_0179	371	372	417
CDR20291_0181	228	307	288
CDR20291_0182	3307	3144	3449
CDR20291_0183	0	0	0
CDR20291_0184	61960	59203	60782
CDR20291_0189	2760	2661	2948
CDR20291_0190	5354	5031	5358
CDR20291_0191	1849	2225	2277
CDR20291_0192	5092	4959	4367
CDR20291_0196	2626	2951	2850
CDR20291_0197	0	0	0
CDR20291_0199	22283	20147	22516
CDR20291_0200	4299	4607	4676
CDR20291_0201	987	1176	1063
CDR20291_0202	593	490	688
CDR20291_0203	227	175	201
CDR20291_0204	3046	3035	3104
CDR20291_0205	13422	13115	13637
CDR20291_0206	184	173	115
CDR20291_0207	32	42	51
CDR20291_0208	187	188	197
CDR20291_0209	22	41	49
CDR20291_0210	225	252	223
CDR20291_0211	3810	3550	3827
CDR20291_0212	225	210	229
CDR20291_0213	48	35	53
CDR20291_0214	737	767	683
CDR20291_0223	2592	2685	2412
CDR20291_0224	6392	6757	6301
CDR20291_0225	2748	2832	2549
CDR20291_0226	6323	6488	6100
CDR20291_0227	4793	4876	4599
CDR20291_0228	2677	2797	2647
CDR20291_0231	1003	990	855
CDR20291_0234	1185	1161	889
CDR20291_0239	1367	1351	1167
CDR20291_0241	9014	8349	7269
CDR20291_0242	11447	11575	8931
CDR20291_0243	13838	14350	10517
CDR20291_0244	4147	4339	3239
CDR20291_0245	8057	8096	6413
CDR20291_0246	8709	9160	8092
