reaction	linear_coefficient
rxn07841_c	0.004191201477756957
rxn02201_c	0.0027124442340137507
rxn02200_c	0.0027124442340137507
rxn07842_c	0.004191201477756957
rxn00915_c	0.007365444760831438
rxn00836_c	0.007365444760831438
rxn00345_c	0.020552558400074687
rxn00390_c	0.020552558400074687
rxn00376_c	0.020552558400074687
rxn00938_c	0.020552558400074687
rxn02229_c	0.05646451982901765
rxn02230_c	0.05646451982901765
rxn00423_c	0.04215375074187934
rxn00707_c	0.020794294364384458
rxn00364_c	0.020794294364384458
rxn01219_c	0.020794294364384458
rxn03408_c	0.001930553425315257
peptidoglycan_rxn	0.001930553425315257
rxn03933_c	0.001930553425315257
rxn02177_c	0.03231759771134392
rxn00141_c	0.03231759771134392
rxn00947_c	0.02974019218842735
rxn09448_c	0.02974019218842735
rxn09449_c	0.02974019218842735
rxn09450_c	0.02974019218842735
rxn05736_c	0.02974019218842735
rxn00988_c	0.02974019218842735
rxn03861_c	0.0003501003621038031
rxn01452_c	0.0003501003621038031
rxn00022_c	0.003344292030382043
rxn00575_c	0.003344292030382043
rxn00973_c	0.015797862053788754
rxn01388_c	0.015797862053788754
rxn00974_c	0.015797862053788754
rxn04031_c	0.11692685236434444
rxn00346_c	0.0446594690477937
rxn00322_c	0.0446594690477937
rxn01231_c	0.0446594690477937
rxn00194_c	0.0446594690477937
rxn00405_c	0.0446594690477937
rxn05457_c	0.002087265015971245
rxn05452_c	0.002087265015971245
rxn05454_c	0.002087265015971245
rxn05451_c	0.002087265015971245
rxn05383_c	0.002087265015971245
rxn05459_c	0.002087265015971245
rxn05455_c	0.002087265015971245
rxn05458_c	0.002087265015971245
rxn05456_c	0.002087265015971245
rxn05408_c	0.002087265015971245
rxn05453_c	0.002087265015971245
rxn05465_c	0.002087265015971245
rxn05358_c	0.002087265015971245
rxn10275_c	0.00988116593423448
rxn10278_c	0.00988116593423448
rxn10280_c	0.00988116593423448
rxn10286_c	0.00988116593423448
rxn10283_c	0.00988116593423448
rxn10288_c	0.00988116593423448
rxn10281_c	0.00988116593423448
rxn10279_c	0.00988116593423448
rxn10273_c	0.00988116593423448
rxn10284_c	0.00988116593423448
rxn10277_c	0.00988116593423448
rxn10285_c	0.00988116593423448
rxn10287_c	0.00988116593423448
rxn10271_c	0.00988116593423448
rxn10272_c	0.00988116593423448
rxn10282_c	0.00988116593423448
rxn10274_c	0.00988116593423448
rxn10276_c	0.00988116593423448
rxn04723_c	0.002045586401435078
rxn03365_c	0.002045586401435078
rxn01643_c	0.002045586401435078
rxn04744_c	0.002045586401435078
rxn03915_c	0.002045586401435078
rxn04658_c	0.002045586401435078
rxn04737_c	0.002045586401435078
rxn05126_c	0.002045586401435078
rxn03366_c	0.002045586401435078
rxn02107_c	0.002045586401435078
rxn03921_c	0.002045586401435078
rxn02687_c	0.002045586401435078
rxn04271_c	0.002045586401435078
rxn04727_c	0.002045586401435078
rxn04270_c	0.002045586401435078
