reaction	linear_coefficient
rxn07841_c	0.014755896690384577
rxn02201_c	0.023226658308715165
rxn02200_c	0.023226658308715165
rxn07842_c	0.014755896690384577
rxn00915_c	0.007885593870242803
rxn00836_c	0.007885593870242803
rxn00345_c	0.0032992791266829823
rxn00390_c	0.0032992791266829823
rxn00376_c	0.0032992791266829823
rxn00938_c	0.0032992791266829823
rxn02229_c	0.0007018678687890529
rxn02230_c	0.0007018678687890529
rxn00423_c	0.0012020112432230574
rxn00707_c	0.0031208946564681875
rxn00364_c	0.0031208946564681875
rxn01219_c	0.0031208946564681875
rxn03408_c	0.02898664283761345
peptidoglycan_rxn	0.02898664283761345
rxn03933_c	0.02898664283761345
rxn02177_c	0.00152710443660516
rxn00141_c	0.00152710443660516
rxn00947_c	0.0018722033649646232
rxn09448_c	0.0018722033649646232
rxn09449_c	0.0018722033649646232
rxn09450_c	0.0018722033649646232
rxn05736_c	0.0018722033649646232
rxn00988_c	0.0018722033649646232
rxn03861_c	0.08580293017331635
rxn01452_c	0.08580293017331635
rxn00022_c	0.020207459471715226
rxn00575_c	0.020207459471715226
rxn00973_c	0.003959468380935869
rxn01388_c	0.003959468380935869
rxn00974_c	0.003959468380935869
rxn04031_c	0.0002400688197283221
rxn00346_c	0.0009152623752142281
rxn00322_c	0.0009152623752142281
rxn01231_c	0.0009152623752142281
rxn00194_c	0.0009152623752142281
rxn00405_c	0.0009152623752142281
rxn05457_c	0.027381182605680295
rxn05452_c	0.027381182605680295
rxn05454_c	0.027381182605680295
rxn05451_c	0.027381182605680295
rxn05383_c	0.027381182605680295
rxn05459_c	0.027381182605680295
rxn05455_c	0.027381182605680295
rxn05458_c	0.027381182605680295
rxn05456_c	0.027381182605680295
rxn05408_c	0.027381182605680295
rxn05453_c	0.027381182605680295
rxn05465_c	0.027381182605680295
rxn05358_c	0.027381182605680295
rxn10275_c	0.0058233360229932585
rxn10278_c	0.0058233360229932585
rxn10280_c	0.0058233360229932585
rxn10286_c	0.0058233360229932585
rxn10283_c	0.0058233360229932585
rxn10288_c	0.0058233360229932585
rxn10281_c	0.0058233360229932585
rxn10279_c	0.0058233360229932585
rxn10273_c	0.0058233360229932585
rxn10284_c	0.0058233360229932585
rxn10277_c	0.0058233360229932585
rxn10285_c	0.0058233360229932585
rxn10287_c	0.0058233360229932585
rxn10271_c	0.0058233360229932585
rxn10272_c	0.0058233360229932585
rxn10282_c	0.0058233360229932585
rxn10274_c	0.0058233360229932585
rxn10276_c	0.0058233360229932585
rxn04723_c	0.02782631020892656
rxn03365_c	0.02782631020892656
rxn01643_c	0.02782631020892656
rxn04744_c	0.02782631020892656
rxn03915_c	0.02782631020892656
rxn04658_c	0.02782631020892656
rxn04737_c	0.02782631020892656
rxn05126_c	0.02782631020892656
rxn03366_c	0.02782631020892656
rxn02107_c	0.02782631020892656
rxn03921_c	0.02782631020892656
rxn02687_c	0.02782631020892656
rxn04271_c	0.02782631020892656
rxn04727_c	0.02782631020892656
rxn04270_c	0.02782631020892656
rxn00532_c	0.02782631020892656
rxn07885_c	0.02782631020892656
rxn05127_c	0.02782631020892656
rxn01851_c	0.02782631020892656
rxn03618_c	0.02782631020892656
rxn07875_c	0.02782631020892656
rxn07876_c	0.02782631020892656
rxn05417_c	0.05435724907806905
rxn05343_c	0.05435724907806905
rxn05400_c	0.05435724907806905
rxn05429_c	0.05435724907806905
rxn05388_c	0.05435724907806905
rxn05460_c	0.05435724907806905
rxn05371_c	0.05435724907806905
rxn05359_c	0.05435724907806905
rxn05396_c	0.05435724907806905
rxn05409_c	0.05435724907806905
rxn05346_c	0.05435724907806905
rxn05348_c	0.05435724907806905
rxn05413_c	0.05435724907806905
rxn05404_c	0.05435724907806905
rxn05350_c	0.05435724907806905
rxn05425_c	0.05435724907806905
rxn05345_c	0.05435724907806905
rxn05349_c	0.05435724907806905
rxn05375_c	0.05435724907806905
rxn05367_c	0.05435724907806905
rxn05347_c	0.05435724907806905
rxn05379_c	0.05435724907806905
rxn05421_c	0.05435724907806905
rxn05392_c	0.05435724907806905
rxn05384_c	0.05435724907806905
rxn05344_c	0.05435724907806905
rxn05363_c	0.05435724907806905
rxn01446_c	0.00988116593423448
rxn01649_c	0.00988116593423448
rxn01985_c	0.00988116593423448
rxn01646_c	0.00988116593423448
rxn01358_c	0.00988116593423448
rxn01548_c	0.00988116593423448
rxn01647_c	0.00988116593423448
rxn01859_c	0.00988116593423448
rxn01138_c	0.00988116593423448
rxn01799_c	0.00988116593423448
rxn12640_c	0.11692685236434444
rxn12645_c	0.11692685236434444
rxn12644_c	0.11692685236434444
rxn12636_c	0.11692685236434444
rxn12634_c	0.11692685236434444
