	minimum	maximum
rxn03408_c	36.88505419411274	46.10631774263845
rxn00258_c	-213.6404788230774	1000.0
rxn09177_c	0.13524519871015006	0.16905649838807865
rxn01218_c	-4.841163362977082	-3.8729306903818888
rxn04996_c	38.11455600058367	47.64319500072692
rxn00001_c	641.2599285711196	804.2113498989472
rxn01322_c	52.32610426818803	65.4076303352316
rxn01297_c	-985.1618287597183	0.0
rxn08669_c	-0.03842193145237616	-0.030737545161969138
rxn00225_c	-996.9262454838231	0.0
rxn00148_c	-828.5567754905716	0.0
rxn05569_c	-1000.0	828.5567754905705
rxn00100_c	0.13524519871015006	0.169056498389716
rxn08976_c	-970.0370409763216	-3.410605131648481e-13
rxn05298_c	-900.2208711488512	29.910057990384075
rxn00292_c	-65.40763033523137	-52.326104268187976
rxn03903_c	36.88505419411263	46.106317742638566
rxn00097_c	231.60317084866477	372.1552594410637
rxn01217_c	3.8729306903818888	4.841163362976625
rxn00692_c	16.278603917668534	20.348254897083734
rxn00926_c	14.838171240266547	18.547714050345007
rxn00171_c	14.346370517672653	999.5081992774097
rxn03958_c	-524.0751450079913	-419.26011600640686
rxn10060_c	-3.488711375859635	-2.7909691006878012
rxn00612_c	-1.8826746411581325	-1.5061397129259149
rxn01966_c	-613.6288667320778	770.3507074512457
rxn02380_c	-613.6288667320736	770.3507074512465
rxn05938_c	-1.2505552149377763e-12	1000.0
rxn00272_c	-1.1368683772161603e-13	970.0370409763178
rxn09111_c	0.030737545161741764	0.03842193145214878
rxn00392_c	0.012295018064704248	0.015368772580796044
rxn00747_c	-670.4177332693225	285.8438548624712
rxn01334_c	-835.8982930712406	-120.98681875067086
rxn02175_c	0.13524519870907112	0.16905649839194958
rxn03884_c	93.05464258441918	116.31830323059
rxn02009_c	36.885054194112826	46.10631774263799
rxn00555_c	171.44322450942923	1000.0
rxn01505_c	97.67311612120432	122.09139515149695
rxn00213_c	-28.34188240813444	-22.6735059265078
rxn00139_c	-28.341882408133984	-22.67350592650746
rxn03910_c	419.26011600641345	524.0751450079896
rxn04794_c	-2.139737973412441e-13	1000.0
rxn00182_c	-1000.0	464.1008823181076
rxn08815_c	-0.03842193145214878	-0.030737545161741764
rxn03908_c	419.2601160064143	524.0751450079932
rxn05485_c	-902.326883878796	601.0375985460173
rxn05496_c	-928.787255369233	1000.0
rxn00527_c	-452.60499478489874	697.8979821184703
rxn10271_c	0.030737545161741764	0.03842193145214878
rxn01548_c	8.327135408813433	10.408919261015285
rxn01345_c	120.98681875064351	835.8982930712374
rxn05645_c	0.13524519871145912	0.16905649838952286
rxn01967_c	-613.6288667320869	770.3507074512318
rxn00711_c	22.673505926507346	28.3418824081337
rxn00908_c	19.069573018356436	23.836966272943755
rxn01138_c	-9.794168357778517	-7.835334686219198
rxn08820_c	-0.11526579435656004	-0.09221263548522529
rxn05494_c	129.0976896793942	161.37211209923282
rxn01870_c	91.4142529016548	1000.0
rxn00297_c	1.2295018064704664	1.5368772580879977
rxn00313_c	59.36034721639151	74.2004340204855
rxn10168_c	0.12295018064704125	0.1536877258087935
rxn09657_c	0.12295018064708074	0.15368772580870882
rxn12191_c	-1000.0000000000031	1000.0
