CDR20291_2230	15742
CDR20291_2227	11262
CDR20291_2228	12968
CDR20291_0308	173
CDR20291_0779	4441
CDR20291_2726	36
CDR20291_1859	14973
CDR20291_1862	5932
CDR20291_1861	22692
CDR20291_1860	12202
CDR20291_1145	15936
CDR20291_0370	80925
CDR20291_1012	42439
CDR20291_0025	422
CDR20291_0026	581
CDR20291_0027	586
CDR20291_0028	1311
CDR20291_2313	110
CDR20291_0918	3808
CDR20291_1021	3815
CDR20291_3302	929
CDR20291_2974	457
CDR20291_0730	149
CDR20291_1641	888
CDR20291_0897	4272
CDR20291_0896	3756
CDR20291_1715	2587
CDR20291_0339	416
CDR20291_2800	331324
CDR20291_0088	36468
CDR20291_3275	4415
CDR20291_3271	207
CDR20291_2913	21
CDR20291_3270	207
CDR20291_2640	825
CDR20291_2639	131
CDR20291_1122	25060
CDR20291_2113	3080
CDR20291_3299	11430
CDR20291_2560	87760
CDR20291_2561	17306
CDR20291_2562	13071
CDR20291_2559	11439
CDR20291_2558	12540
CDR20291_2634	6773
CDR20291_2176	40
CDR20291_1945	40
CDR20291_1947	92
CDR20291_0306	63
CDR20291_1943	181
CDR20291_1680	14525
CDR20291_2392	5237
CDR20291_1946	66
CDR20291_1944	120
CDR20291_0637	22870
CDR20291_1729	3001
CDR20291_1728	1928
CDR20291_1730	2361
CDR20291_2124	837
CDR20291_1732	1179
CDR20291_1733	749
CDR20291_2918	174
CDR20291_2968	2487
CDR20291_3084	16132
CDR20291_2583	9492
CDR20291_1530	973
CDR20291_2144	23203
CDR20291_1386	27645
CDR20291_0105	23791
CDR20291_2407	8356
CDR20291_2628	34527
CDR20291_2132	83
CDR20291_2131	52
CDR20291_2130	94
CDR20291_3306	51695
CDR20291_3310	19863
CDR20291_3303	4421
CDR20291_3304	67005
CDR20291_3309	5565
CDR20291_3308	11554
CDR20291_3305	25629
CDR20291_3307	8196
CDR20291_3311	5628
CDR20291_3312	980
CDR20291_1173	10723
CDR20291_2821	427
CDR20291_0910	48500
CDR20291_3090	929
CDR20291_3193	183
CDR20291_1716	318
CDR20291_2567	101
CDR20291_0360	1724
CDR20291_2934	1144
CDR20291_2954	2243
CDR20291_0359	2846
CDR20291_2955	1841
CDR20291_0361	650
CDR20291_2956	480
CDR20291_2936	76
CDR20291_2970	563
CDR20291_2806	345
CDR20291_2023	39779
CDR20291_3395	1131
CDR20291_0413	1069
CDR20291_0412	4425
CDR20291_1050	1286
CDR20291_2590	2963
CDR20291_0112	6388
CDR20291_0997	4790
CDR20291_2232	14293
CDR20291_3256	6520
