645463.3.peg.10	67.0	64.0	91.0
645463.3.peg.11	67.0	64.0	91.0
645463.3.peg.12	67.0	64.0	91.0
645463.3.peg.13	67.0	64.0	91.0
645463.3.peg.14	67.0	64.0	91.0
645463.3.peg.15	67.0	64.0	91.0
645463.3.peg.16	67.0	64.0	91.0
645463.3.peg.17	67.0	64.0	91.0
645463.3.peg.18	67.0	64.0	91.0
645463.3.peg.20	67.0	64.0	91.0
645463.3.peg.21	67.0	64.0	91.0
645463.3.peg.22	67.0	64.0	91.0
645463.3.peg.23	67.0	64.0	91.0
645463.3.peg.24	67.0	64.0	91.0
645463.3.peg.25	67.0	64.0	91.0
645463.3.peg.26	67.0	64.0	91.0
645463.3.peg.27	67.0	64.0	91.0
645463.3.peg.28	67.0	64.0	91.0
645463.3.peg.29	67.0	64.0	91.0
645463.3.peg.30	67.0	64.0	91.0
645463.3.peg.31	67.0	64.0	91.0
645463.3.peg.32	67.0	64.0	91.0
645463.3.peg.33	67.0	64.0	91.0
645463.3.peg.34	67.0	64.0	91.0
645463.3.peg.35	67.0	64.0	91.0
645463.3.peg.36	67.0	64.0	91.0
645463.3.peg.37	67.0	64.0	91.0
645463.3.peg.38	67.0	64.0	91.0
645463.3.peg.39	67.0	64.0	91.0
645463.3.peg.40	67.0	64.0	91.0
645463.3.peg.41	67.0	64.0	91.0
645463.3.peg.42	67.0	64.0	91.0
645463.3.peg.43	67.0	64.0	91.0
645463.3.peg.44	67.0	64.0	91.0
645463.3.peg.45	67.0	64.0	91.0
645463.3.peg.46	67.0	64.0	91.0
645463.3.peg.47	67.0	64.0	91.0
645463.3.peg.48	67.0	64.0	91.0
645463.3.peg.49	67.0	64.0	91.0
645463.3.peg.50	67.0	64.0	91.0
645463.3.peg.51	67.0	64.0	91.0
645463.3.peg.52	67.0	64.0	91.0
645463.3.peg.54	67.0	64.0	91.0
645463.3.peg.55	67.0	64.0	91.0
645463.3.peg.57	67.0	64.0	91.0
645463.3.peg.58	67.0	64.0	91.0
645463.3.peg.59	67.0	64.0	91.0
645463.3.peg.60	67.0	64.0	91.0
645463.3.peg.61	67.0	64.0	91.0
645463.3.peg.62	67.0	64.0	91.0
645463.3.peg.63	67.0	64.0	91.0
645463.3.peg.64	67.0	64.0	91.0
645463.3.peg.65	67.0	64.0	91.0
645463.3.peg.66	67.0	64.0	91.0
645463.3.peg.67	67.0	64.0	91.0
645463.3.peg.68	67.0	64.0	91.0
645463.3.peg.69	67.0	64.0	91.0
645463.3.peg.70	67.0	64.0	91.0
645463.3.peg.71	67.0	64.0	91.0
645463.3.peg.72	67.0	64.0	91.0
645463.3.peg.73	67.0	64.0	91.0
645463.3.peg.74	67.0	64.0	91.0
645463.3.peg.75	67.0	64.0	91.0
645463.3.peg.76	67.0	64.0	91.0
645463.3.peg.77	67.0	64.0	91.0
645463.3.peg.78	67.0	64.0	91.0
645463.3.peg.79	67.0	64.0	91.0
645463.3.peg.80	67.0	64.0	91.0
645463.3.peg.81	67.0	64.0	91.0
645463.3.peg.82	67.0	64.0	91.0
645463.3.peg.83	67.0	64.0	91.0
645463.3.peg.84	67.0	64.0	91.0
645463.3.peg.85	67.0	64.0	91.0
645463.3.peg.86	67.0	64.0	91.0
645463.3.peg.87	67.0	64.0	91.0
645463.3.peg.88	67.0	64.0	91.0
645463.3.peg.89	67.0	64.0	91.0
645463.3.peg.90	67.0	64.0	91.0
645463.3.peg.91	67.0	64.0	91.0
645463.3.peg.92	67.0	64.0	91.0
645463.3.peg.93	67.0	64.0	91.0
645463.3.peg.94	67.0	64.0	91.0
645463.3.peg.95	67.0	64.0	91.0
645463.3.peg.96	67.0	64.0	91.0
645463.3.peg.97	67.0	64.0	91.0
645463.3.peg.98	67.0	64.0	91.0
645463.3.peg.99	67.0	64.0	91.0
645463.3.peg.100	67.0	64.0	91.0
645463.3.peg.101	67.0	64.0	91.0
645463.3.peg.102	67.0	64.0	91.0
645463.3.peg.103	67.0	64.0	91.0
645463.3.peg.104	67.0	64.0	91.0
645463.3.peg.105	67.0	64.0	91.0
645463.3.peg.106	67.0	64.0	91.0
645463.3.peg.107	67.0	64.0	91.0
645463.3.peg.108	67.0	64.0	91.0
645463.3.peg.109	67.0	64.0	91.0
645463.3.peg.110	67.0	64.0	91.0
645463.3.peg.111	67.0	64.0	91.0
645463.3.peg.112	67.0	64.0	91.0
645463.3.peg.113	67.0	64.0	91.0
645463.3.peg.114	67.0	64.0	91.0
645463.3.peg.115	67.0	64.0	91.0
645463.3.peg.117	67.0	64.0	91.0
645463.3.peg.118	67.0	64.0	91.0
645463.3.peg.119	67.0	64.0	91.0
645463.3.peg.120	67.0	64.0	91.0
645463.3.peg.121	67.0	64.0	91.0
645463.3.peg.123	67.0	64.0	91.0
645463.3.peg.124	67.0	64.0	91.0
645463.3.peg.125	67.0	64.0	91.0
645463.3.peg.126	67.0	64.0	91.0
645463.3.peg.127	67.0	64.0	91.0
645463.3.peg.128	67.0	64.0	91.0
645463.3.peg.129	67.0	64.0	91.0
645463.3.peg.130	67.0	64.0	91.0
645463.3.peg.131	67.0	64.0	91.0
645463.3.peg.132	67.0	64.0	91.0
645463.3.peg.133	67.0	64.0	91.0
645463.3.peg.134	67.0	64.0	91.0
645463.3.peg.135	67.0	64.0	91.0
645463.3.peg.136	67.0	64.0	91.0
645463.3.peg.137	67.0	64.0	91.0
645463.3.peg.138	67.0	64.0	91.0
